Gene,GeneID,Count,PMID
E-cadherin,12550,2,"[26992741, 23468988]"
CDK4,12567,1,[19651243]
C/EBPalpha,12606,3,"[21080714, 31936890, 21080714]"
CCAAT/enhancer binding protein beta,12608,1,[21080714]
C/EBPdelta,12609,1,[21080714]
CFTR,12638,1,[29475061]
ChAT,12647,3,"[27809277, 32292060, 27809277]"
CB1,1268,2,"[36313355, 24288291]"
CB2,1269,1,[24288291]
paxB,127343,1,[23949005]
claudin-1,12737,1,[33807544]
CXCR2,12765,1,[26202360]
CCR2,12772,1,[30971441]
granulocyte-macrophage colony-stimulating factor,12981,2,"[22878139, 24593676]"
PARP,1302,9,"[21916504, 22285236, 29653168, 21241775, 25641103, 28359723, 30837881, 26870680, 25661342]"
CYP2E1,13106,2,"[31758991, 31758991]"
DCX,13193,2,"[30934760, 30934760]"
ADM,133,1,[36983477]
CRL,133396,1,[31216760]
ADORA2B,136,1,[25080434]
orf3,136991,1,[33406573]
CREB,1385,1,[36321740]
HER2,13866,2,"[21918170, 21918170]"
Esr1,13982,1,[27812322]
COX2,140540,1,[27192145]
F (10- 3- and 5,14058,1,[24559087]
PR,140738,2,"[24794733, 37532330]"
FAK,14083,2,"[26992741, 26992741]"
PARP,142,25,"[18481862, 18222036, 29549725, 35740903, 25442260, 26871659, 21468561, 30934922, 21394807, 17666799, 33166597, 26291658, 21122037, 22178684, 33389242, 21122037, 26871659, 26291658, 33166597, 23682781, 30934922, 18481862, 21394807, 18222036, 17666799]"
VEGFR-1,14254,1,[32171839]
c-fos,14281,1,[30668330]
CS,1431,2,"[26327534, 37949224]"
p38,1432,2,"[29653168, 31911173]"
CULLIN,143384,2,"[25142695, 31216760]"
CSL,1444,1,[31795147]
GATA-3,14462,1,[23848565]
CK2-alpha1,1457,1,[35628699]
ATF,14573,1,[18545860]
CXCL1,14825,1,[30149752]
bICP0,1487364,1,[35056637]
sanG,149775,1,[36607495]
beta-Catenin,1499,9,"[35406647, 35406647, 15986440, 30355923, 26445050, 28811522, 28887754, 34443375, 28688953]"
cathepsins B and L,1508,1,[21222136]
Th2,15111,1,[24593676]
TGR5,151306,1,[29655782]
cathepsins V and B,1515,1,[32189177]
mHS1,15163,1,[33531553]
CDP,1523,1,[33389242]
HIF-1alpha,15251,2,"[32171839, 32171839]"
HO-1,15368,7,"[25239868, 27070586, 37777167, 30149752, 27070586, 27070586, 30149752]"
cytochrome P450 1A1,1543,2,"[21913247, 29248571]"
CYP1A2,1544,1,[27457784]
HSP70,15511,1,[26388840]
CYP2C19,1557,1,[27457784]
Rev,155908,1,[9464413]
CYP3A4,1576,2,"[14742792, 27457784]"
OXA48,15842812,1,[35458737]
aromatase,1588,1,[36286059]
ICAM-1,15894,1,[20107539]
IDO,15930,1,[17947673]
CYP51,1595,1,[37623601]
Ifnb1,15977,2,"[38067514, 19857559]"
IFN-gamma,15978,8,"[20136448, 14519947, 12808294, 20937400, 28360029, 36991200, 20937400, 20937400]"
Dao,1610,1,[32495540]
IL-10,16153,3,"[25457483, 20136448, 24593676]"
IL-13,16163,1,[23848565]
IL-17A,16171,3,"[37719372, 37719372, 37719372]"
IL-1beta,16175,7,"[25982420, 30183250, 33807544, 20107539, 25457483, 14519947, 28360029]"
interleukin-1beta,16176,2,"[23796217, 28630461]"
IL-2,16183,2,"[36991200, 14519947]"
IL-4,16189,1,[23848565]
IL-5,16191,1,[23848565]
IL-6,16193,24,"[25982420, 28360029, 29566694, 21704694, 14519947, 36272693, 33705950, 33807544, 20107539, 22126586, 30073232, 35408555, 18642845, 24049493, 19651243, 26559695, 31892211, 25457483, 31398401, 36272693, 33705950, 28630461, 19651243, 29566694]"
ACE,163,1,[38067519]
ACE,1636,2,"[35840188, 35840188]"
IRF-1,16362,2,"[20937400, 20937400]"
LEM,163747,1,[1513372]
CD11b,16409,2,"[19966494, 30971441]"
JAK2,16452,2,"[29609012, 29609012]"
AP-1,16476,5,"[19651243, 22083926, 22083926, 19651243, 30668330]"
CHOP,1649,1,[34070303]
VEGF receptor-2,16542,4,"[32171839, 32171839, 29609012, 29609012]"
AFG2,166378,1,[30468840]
KRAS,16653,1,[30577618]
mL(-1),16728,31,"[24652711, 21351753, 29231891, 34575727, 28369962, 31890967, 35494752, 35675545, 30445856, 34314099, 31027820, 25380370, 31410414, 31553036, 33885655, 33918943, 34575718, 28484977, 32767646, 25642401, 32801568, 31455975, 23460242, 33809896, 25415350, 29323531, 31930836, 29944364, 28659907, 31710143, 32230978]"
Mac-3,16784,1,[19966494]
COX-2,16793023,1,[23357630]
leptin,16846,3,"[23796217, 28630461, 33705950]"
Ly6C,17067,1,[30971441]
MD-2,17087,1,[24532584]
MDM2,17246,1,[26992741]
sod-2,172632,1,[27554775]
NQO1,1728,2,"[29248571, 27159021]"
DAF-16,172981,3,"[27554775, 27647012, 27554775]"
MITF,17342,2,"[27801787, 27801787]"
Ki-67,17345,3,"[29048673, 33705950, 36272693]"
MMP1,17386,1,[37312734]
MMP7,17393,1,[37312734]
MMP-9,17395,3,"[29510517, 32171839, 32171839]"
sod-1,174141,1,[27554775]
DAF-7,175237,1,[25303524]
ATPase,1769,1,[19517454]
COX-2,17709,2,"[30073232, 25457483]"
mucin2,17831,1,[33807544]
DNA methyltransferase,1786,3,"[34086936, 36286441, 34086936]"
hsp16.2,178659,1,[27554775]
MyD88,17874,1,[17947673]
Nrf2,18024,6,"[37777167, 27070586, 30149752, 31256391, 30149752, 27070586]"
NF-kappaB,18033,21,"[37777167, 36755021, 20107539, 31640118, 29510517, 33672606, 16899239, 19651243, 25457483, 34352712, 31892211, 34361637, 20937401, 25355452, 32992840, 25355452, 32992840, 25457483, 16899239, 20937401, 31640118]"
IkappaB alpha,18035,4,"[16899239, 20937401, 20937400, 29566694]"
iNOS,18126,27,"[16899239, 23517145, 33233743, 20224909, 21704694, 20937400, 36991200, 34822456, 30149752, 19857559, 25457483, 21277968, 31892211, 25355452, 19651243, 22083926, 19857559, 30149752, 22083926, 33233743, 25355452, 32397523, 20937400, 21704694, 19651243, 16899239, 24547933]"
trypsin-like serine protease,18165515,1,[27642126]
sod-3,181748,1,[27554775]
occludin,18260,2,"[28630461, 33807544]"
PCNA,18538,3,"[30934760, 30934760, 27604096]"
cFP,18636,1,[25561711]
PPARalpha,19013,2,"[35860381, 35860381]"
PPAR-gamma,19016,8,"[23848565, 31936890, 21080714, 20107539, 23848565, 21080714, 31936890, 31256391]"
PRP,19131,1,[32171839]
PS1,19164,1,[26807743]
EF-1 alpha,1917,3,"[20307326, 30633747, 30633747]"
COX 2,19225,13,"[33233743, 19651243, 21704694, 20224909, 30149752, 33233743, 31256391, 19651243, 32397523, 20224909, 32992840, 21704694, 30149752]"
PTP1B,19246,3,"[32397523, 32397523, 32397523]"
EGF,1950,3,"[27939989, 31893233, 26371759]"
AhR,196,9,"[26382631, 36160406, 37662726, 35056637, 34122415, 36160406, 35056637, 34122415, 26382631]"
Rb1,19645,2,"[9933987, 9436194]"
Rb2,19651,1,[9436194]
Reg3g,19695,1,[28630461]
p65,19697,2,"[19651243, 37777167]"
MLKL,197259,1,[35931117]
eIF4E,1977,1,[23468988]
eIF4G,1981,1,[23468988]
elastin,2006,1,[36768574]
FXR,20186,5,"[35173042, 30392748, 35173042, 35173042, 30392748]"
EN1,2019,1,[31795147]
CCL2,20296,2,"[30971441, 25799023]"
CCl4,20303,1,[25418207]
IL-8,20309,1,[29510517]
MIP-2,20310,2,"[16020192, 16020192]"
CXCL12,20315,2,"[25799023, 25799023]"
Foxp3,20371,1,[17947673]
SP-D,20390,2,"[16020192, 16020192]"
EphB1,2047,1,[36797277]
ERK,2048,1,[27939989]
