Gene,GeneID,Count,PMID
methionyl-tRNA synthetase,4141,1,[20678224]
ALP,414873,1,[27044011]
Mbp,4155,3,"[32060621, 25015739, 34746476]"
MCAM,4162,1,[24718855]
IL-4,416330,1,[32055207]
MDM2,4193,1,[12613590]
RP9,420747,1,[16553274]
C-Met,4233,2,"[26744260, 26744260]"
SCF,4254,1,[31216760]
FADD,42594,1,[31673827]
AFF1,4299,1,[22221359]
AChE,43,21,"[29749305, 37999391, 37357520, 37757923, 38202796, 37423890, 37683876, 30158491, 25192355, 37423890, 37110485, 29749305, 37683876, 37110485, 29749305, 37999391, 38202796, 37357520, 30158491, 37757923, 38079052]"
NEP,4311,3,"[29766796, 29766796, 29766796]"
MMP-1,4312,2,"[29048673, 30109192]"
MMP-2,4313,6,"[20447056, 29048673, 36976205, 30109192, 18946196, 18946196]"
MMP-7,4316,5,"[29234409, 23588713, 28887754, 29234409, 23588713]"
MMP-9,4318,3,"[17562555, 37683805, 17562555]"
Toll,43222,1,[23638376]
DRICE,43514,1,[31673827]
ABCC1,4363,2,"[19517454, 19517454]"
spike,43740568,1,[34746476]
E,43740570,1,[36159744]
PLpro,43740578,5,"[33825097, 34746476, 34242870, 33339096, 33825097]"
Msi-1,4440,2,"[36797277, 30441806]"
COX-2,4513,2,"[23612372, 37110485]"
CYP,45282,1,[28746736]
Diphosphomevalonate decarboxylase,4597,1,[36813111]
MX1,4599,1,[31280524]
MYB,4602,1,[36144275]
Myc,4609,6,"[20552443, 30837881, 31109134, 22178684, 28811522, 19393284]"
MYD88,4615,1,[38045060]
Atf1,466,1,[34302199]
ATF4,468,1,[34070303]
ndufs8,4728,1,[35887413]
Nedd8,4738,1,[31216760]
AhR,475251,2,"[36421238, 36421238]"
NP,475393,2,"[36421238, 36421238]"
Neuraminidase,4758,3,"[37999391, 37999391, 37999391]"
Nrf-2,4780,10,"[21540101, 37351768, 34443375, 36321740, 24728716, 27178040, 28041784, 28450128, 24728716, 27178040]"
NF-kappaB,4790,14,"[23533483, 32295926, 30688672, 23336512, 29773004, 23431343, 19861509, 22519596, 36498968, 34443375, 23612372, 24391470, 30688672, 22519596]"
IkappaB-alpha,4792,2,"[23431343, 23612372]"
NGF,4803,5,"[17320402, 27588730, 36362380, 17320402, 36362380]"
NK3,4824,1,[7515038]
nm23-H1,4830,1,[27941649]
iNOS,4843,1,[27159021]
Notch-1,4851,2,"[36797277, 31795147]"
ACR,49,1,[28848500]
NT5E,4907,2,"[25080434, 25080434]"
TrkB,4915,1,[36321740]
orf-2,4924652,1,[1311842]
LOX-1,4973,1,[37110485]
OMP,4975,1,[25939848]
mHSR1,50497,1,[33531553]
pH,5053,2,"[25230522, 34844367]"
IL-22,50616,1,[26382631]
fatty acid synthase,50671,1,[29356583]
GSK-3beta,50686,1,[25128810]
ERK1/2,50689,2,"[25128810, 28758954]"
Zervamicins IIA and IIB,50771,1,[17589870]
JAM-A,50848,2,"[37108944, 37108944]"
Keap1,50868,1,[37777167]
PC,5091,2,"[36087724, 36087724]"
pHs,5092,1,[15112060]
IL-22,50929,1,[33719004]
FAME,50968,1,[26286349]
DESI,51029,1,[31112181]
PCNA,5111,2,"[21225227, 15986440]"
pgaR,51129,1,[36255295]
PD-1,5133,2,"[35887442, 35887442]"
iNOS,51477,2,"[34203256, 23612372]"
orf5,51503,1,[33406573]
SIRT6,51548,1,[29515203]
P-20,51673,1,[37365694]
ATX,5168,1,[38147116]
IL-6,517016,1,[35931488]
CD31,5175,1,[15986440]
cFP,5199,1,[25561711]
PFKFB3,5209,1,[34303764]
PFK1 and 2,5213,1,[34303764]
PGD,5226,2,"[29849117, 29849117]"
ABCB1,5243,9,"[19517454, 26222905, 36983477, 26222905, 16019806, 26222905, 16019806, 28606042, 36976227]"
A1a,5265,1,[24349254]
phosphoinositide-3-kinase,5293,2,"[23468988, 23747344]"
PI3Kgamma,5294,1,[28359246]
PKM2,5315,3,"[32507600, 32507600, 32507600]"
PLA2,5319,4,"[9578144, 20955150, 9578144, 20955150]"
uPA,5328,2,"[22033405, 22033405]"
LH-1,5351,1,[36312981]
DEBCL,53585,1,[31673827]
PL,5406,6,"[37999391, 37999391, 28006918, 38079052, 36216138, 37999391]"
Mart,5414,1,[31100435]
TPS1,541974,1,[23751979]
PAO,541983,1,[36371871]
PRX1,542029,4,"[36857007, 31652440, 22475000, 37569319]"
Cyt-C,54205,19,"[30355923, 26870680, 18222036, 30355923, 30355923, 30934922, 26870680, 30860609, 19861509, 25268882, 18481862, 21916504, 28728544, 25641103, 18222036, 26871659, 26291658, 29545735, 15949805]"
BENZOXAZINELESS1,542117,4,"[21730199, 21730199, 21730199, 21730199]"
ZmAn2,542165,1,[29132306]
P1 (pericarp color 1,542272,1,[31996735]
CAT3,542370,1,[22383877]
Calmodulin,542465,2,"[31935649, 31935649]"
APX,542476,1,[36371871]
LLS1,542575,1,[35303096]
RPB1,5430,1,[23357352]
RPB2,5431,2,"[23357352, 37252052]"
pap1,543510,1,[35760884]
GOX,54363,2,"[33169928, 33169928]"
oxidoreductase,543818,1,[28338918]
ERF2,543866,1,[37940862]
PO,543959,3,"[37651951, 32410087, 37651951]"
beta-1-3 glucanase,543987,1,[11106022]
CAT,543990,2,"[37651951, 37651951]"
lipoxygenase,543994,2,"[31838316, 31542655]"
Lox C,544008,1,[37940862]
Pti-5,544042,1,[35862794]
MYB,544113,1,[28980117]
MAT1-1,544155,2,"[37746203, 37746203]"
EXT-3,544158,2,"[37940862, 37940862]"
FAD7,544203,2,"[32337100, 32337100]"
SOD,544259,2,"[32410087, 32410087]"
ERF3,544260,1,[37940862]
UGT1A9,54600,1,[27457784]
INO80,54617,1,[32594818]
PPAR,5465,3,"[32683035, 31346342, 24728716]"
PPAR-gamma,5468,3,"[24728716, 24401848, 24728716]"
PDH,54704,3,"[31817301, 31817301, 31817301]"
SLC25A38,54977,1,[26821380]
ToF,55079,1,[29500428]
Brix,55299,1,[33268164]
orf1,55354,1,[33406573]
Sage,55511,2,"[24129950, 24129950]"
AMPK,5562,1,[31346342]
AMPK,5563,1,[32683035]
C,55832,2,"[31213557, 31213557]"
ERK,5594,11,"[29653168, 31893233, 21093573, 32128278, 36321740, 22293124, 20447056, 31911173, 29653168, 22293124, 21093573]"
ERK1/2,5595,5,"[25442282, 29234409, 20447056, 20447056, 25360754]"
JNK,5599,8,"[30123617, 19861509, 33166597, 31911173, 29653168, 19861509, 33166597, 30123617]"
cryptic,55997,9,"[34221811, 22097802, 20467781, 22126067, 28358596, 21768386, 26225453, 28229977, 24085397]"
prolactin,5617,1,[37662599]
PRS,5640,1,[35723692]
Foxo3,56484,1,[26098777]
dectin-1,56644,1,[22878139]
mTOR,56717,2,"[28245124, 23468988]"
TOMM22,56993,1,[33890134]
CTR1,5719129,1,[23423950]
CYC6,5723799,3,"[23423950, 23423950, 23423950]"
platelet activating factor receptor,5724,1,[30061613]
COPT1,5726486,1,[23423950]
CTX),57276,1,[27604096]
PTEN,5728,2,"[25806467, 25806467]"
PC3,57332,1,[24132497]
aid,57379,6,"[29156005, 31020039, 26686621, 35616785, 21717315, 24651031]"
cytochrome P450 monooxygenase,57404,2,"[27274078, 32814804]"
cyclooxygenase 2,5743,2,"[16219483, 19649732]"
FAK,5747,3,"[33846818, 29234409, 31109134]"
PTMs,5763,1,[35622565]
PTP1B,5770,8,"[35524660, 23612372, 28635658, 23770564, 27939989, 28635658, 23612372, 28635658]"
Shp1,5777,1,[27939989]
Bak,578,2,"[25537793, 16893972]"
Shp2,5781,1,[27939989]
PTPRA,5786,1,[27939989]
BAX,581,32,"[37894482, 28359723, 28728544, 19861509, 29653168, 30934922, 28041784, 23217280, 24071573, 22285236, 36583050, 25661342, 32096436, 19393284, 21122037, 25641103, 21916504, 24368570, 21241775, 25537793, 31374354, 26871659, 25268882, 30355923, 29545735, 30414102, 29805569, 18222036, 26291658, 29845223, 23747344, 24815470]"
paxillin,5829,2,"[35887442, 29234409]"
AmpC,5850688,1,[34119841]
Rac1,5879,2,"[28811522, 26371759]"
BChE,590,7,"[30158491, 37357520, 38202796, 37357520, 38202796, 37357520, 37357520]"
RGF,5900,1,[25939848]
TGF-beta1,59086,3,"[25402560, 24128039, 32179464]"
TrkA,59109,1,[28758954]
RasA,5921,1,[15075281]
pRb,5925,2,"[17516868, 25062475]"
ACE2,59272,3,"[37789186, 34746476, 34746476]"
MSI,5928,1,[26831708]
Cyclin D1,595,11,"[36225350, 30837881, 24401848, 30355923, 29549725, 17516868, 25062475, 21225227, 15548174, 23682781, 28811522]"
B-cell lymphoma 2,596,35,"[29845223, 31673827, 21241775, 24071573, 22285236, 15986440, 26871659, 18222036, 28728544, 29845223, 32096436, 21122037, 30414102, 28041784, 25268882, 24368570, 30508758, 19393284, 25641103, 25661342, 18481862, 36583050, 21916504, 25537793, 29805569, 29545735, 30355923, 36557944, 29653168, 28359723, 17666799, 30934922, 31374354, 17666799, 24815470]"
A1- B and B1,597,2,"[27869761, 1548191]"
Age,5973,1,[26739136]
BCL-XL,598,8,"[30837881, 21916504, 32096436, 24401848, 28359723, 22285236, 37894482, 21122037]"
Bcl-w,599,1,[32096436]
Afap1,60312,2,"[30905507, 30905507]"
AP B,6051,1,[35050981]
IFS2,606705,1,[15356384]
P70S6K,6198,3,"[33846818, 30123617, 30123617]"
RXRA,6256,1,[17438068]
BDNF,627,6,"[36321740, 27588730, 36362380, 36362380, 27588730, 36362380]"
S100A4,6275,1,[24718855]
CagA,6279,1,[23431343]
SCD-1,6319,2,"[31678511, 31678511]"
SCP2*,6342,1,[1770350]
CCL2,6347,2,"[30971441, 12765878]"
CCL5,6352,3,"[34575836, 12765878, 36498968]"
CCL22,6367,2,"[34575836, 36498968]"
BH3 interacting-domain death agonist,637,5,"[29845223, 24628464, 19393284, 26291658, 30860609]"
Sea,6395,5,"[35330293, 24084782, 29316607, 35330293, 19481972]"
CD62L,6402,1,[22564240]
CARD9,64170,1,[32849462]
I2PP2A,6418,1,[24718855]
mPGES-1,64292,1,[29727733]
interleukin (IL)-12,64546,1,[21592577]
Sonic hedgehog,6469,2,"[31795147, 36797277]"
Alpha-Glucosidase,6476,14,"[32093426, 38067568, 31993159, 38101666, 34237621, 38067519, 38067568, 32093426, 34004479, 29304029, 37812276, 30429444, 36908276, 30205507]"
Bmi-1,648,1,[36797277]
Skp1,6500,1,[31216760]
S-phase kinase-associated protein 2,6502,2,"[29743060, 29743060]"
butyrylcholinesterase,65036,1,[23775636]
Lamellipodin,65059,1,[31109134]
sodium-glucose cotransporter 2,6524,1,[36838706]
NTCP,6554,3,"[26378168, 26378168, 26378168]"
PGT,6578,1,[36110355]
Slug,6591,1,[26992741]
SNF2,6597,1,[37998923]
SMO,6608,3,"[36797277, 30441806, 30441806]"
SNAIL1/2,6615,1,[37683805]
alpha-synuclein,6622,1,[19806188]
Fascin,6624,2,"[34303764, 34303764]"
ubiquitin,664412,1,[29695775]
SOD,6647,6,"[30693585, 36363809, 36235056, 19147108, 36235056, 28041784]"
sod3,6649,1,[37351768]
sp3,6670,1,[27865702]
IgG2a,668478,2,"[19416507, 12808294]"
Src,6714,4,"[29234409, 27939989, 15787429, 27049393]"
Dock7,67299,1,[31640118]
TRIM21,6737,1,[32228434]
STAT-1,6772,3,"[21093573, 34575836, 19009233]"
STAT,6774,10,"[23880305, 26291658, 30618745, 34443375, 37662726, 23880305, 34575836, 36498968, 32507600, 19009233]"
Stat6,6778,1,[19009233]
aurora kinase A,6790,1,[19370169]
NK2 receptor,6865,1,[7515038]
NK1,6869,1,[7515038]
LOQs,6895,2,"[28898764, 33452378]"
TGA,6899,1,[24587717]
pancreatic lipase,69060,1,[37711987]
calreticulin,692629,1,[24719308]
PPO-1,692758,1,[24719308]
p50 protein,693016,1,[24719308]
PPO-2,693073,1,[24719308]
ZEB1/2,6935,1,[37683805]
GCF,6936,1,[33941694]
SC1,6941,1,[34068122]
MAD7,6945,1,[33651591]
BTK,695,1,[24280868]
alpha-glucosidase,69983,2,"[31102272, 37711987]"
hTERT,7015,2,"[17562555, 19393284]"
TGF-beta,7039,2,"[19009233, 33809098]"
TGF-beta1,7040,1,[25706347]
TH,7054,2,"[19806188, 19806188]"
THRB,7068,1,[17438068]
ZO-1,7082,2,"[37108944, 37108944]"
TLR2,7097,5,"[21918170, 22126586, 23217280, 22126586, 34533882]"
TLR4,7099,5,"[38045060, 24532584, 23217280, 38045060, 34533882]"
thymosin beta 4,7114,1,[24710897]
TNF,7124,22,"[32344935, 32228434, 10096130, 23612372, 23510175, 28947170, 25404219, 37764307, 22519596, 16213796, 32334437, 37789186, 24867795, 38009054, 33809098, 19009233, 36498968, 34575836, 10096130, 21373981, 29773004, 22519596]"
DNA gyrase,7153,4,"[37974074, 38031773, 36354997, 36354997]"
TP53,7157,5,"[24280868, 31673827, 12613590, 17516868, 32228434]"
C1s,716,1,[30508758]
TPI,7167,1,[29549725]
TSC1,7248,1,[34972198]
TSC2,7249,1,[34972198]
p70S6K,72508,1,[23468988]
STING,72512,1,[38067514]
TUB,7275,1,[36338052]
Thioredoxin,7295,3,"[19941471, 19941471, 19941471]"
tyrosinase,7299,4,"[32825344, 38202796, 29382217, 35102193]"
SPDS2,732743,1,[36371871]
Hm1,732845,1,[16839576]
carboxylesterase clade H- member 1,732947,1,[24719308]
USF,7391,1,[19502726]
VASP,7408,1,[31109134]
VCP,7415,1,[31280524]
VEGF,7422,11,"[15986440, 20447056, 36976205, 25185869, 24789042, 33846818, 36976205, 18362935, 33846818, 19501273, 25185869]"
VIL2,7430,1,[24718855]
VIM,7431,2,"[37683805, 30355923]"
igi,7441,1,[36255295]
Wnt5a,7474,1,[36225350]
XBP1,7494,1,[34070303]
Yin Yang 1,7528,2,"[27750383, 27750383]"
HelS1,7529,1,[35814705]
Carbonic Anhydrase I,759,1,[29857578]
CA2,760,3,"[32060621, 32060621, 21740099]"
OVCAR3,761,1,[35099085]
ALT,76282,2,"[18406549, 36991200]"
PHZ1,7702,1,[12423020]
Cav2.1,773,1,[26024438]
Cav2.2,774,1,[26024438]
Cav1.2,775,1,[26024438]
APX,778224,1,[31542655]
SeMa,7869,2,"[35580059, 35580059]"
calmodulin,801,1,[33314413]
calreticulin,811,1,[35931117]
spp,81502,9,"[33638021, 27916552, 25227819, 24276619, 26906097, 33962985, 32844362, 30818881, 31156578]"
CAS1,815275,1,[7505443]
mokA,81545,1,[32043189]
AtPR1,815949,2,"[18599651, 24914891]"
UGT73B5,816040,2,"[24131360, 24131360]"
LC3b,81631,1,[28728544]
p38,81649,1,[25525886]
CYP79B3,816765,2,"[37501023, 20408997]"
C4H,817599,1,[12226501]
cyp71A12,817626,1,[23073694]
cyp71A13,817628,1,[23073694]
ABCG34,818211,3,"[28652324, 28652324, 28652324]"
KAI1 C-terminal interacting tetraspanin,81839,4,"[28811522, 26371759, 26371759, 28811522]"
AUX1,818390,1,[37501023]
AtWRKY33,818429,3,"[26973671, 31371717, 35257500]"
coi1,818581,1,[11402212]
CYP98A3,818686,1,[12226501]
PDF1,818884,2,"[25281690, 24914891]"
PEN2,819056,5,"[19095900, 27711985, 19095898, 22522512, 23073694]"
UGT80A2,819887,2,"[31611892, 31611892]"
BIG,820398,1,[37501023]
AtABCG29,820881,2,"[22704988, 22704988]"
CYP82G1,822110,1,[29271603]
CYP71B15,822298,2,"[29085857, 29085857]"
NIT1,823556,2,"[37501023, 33226310]"
NIT3,823557,1,[33226310]
AtGTR1,823951,1,[35332238]
HAG1,824626,1,[23115560]
PMR6,824657,1,[17351116]
ESK1,824765,3,"[28792629, 28792629, 28792629]"
AtSDR1,825294,1,[18599651]
ACD6,827085,1,[25017162]
Atpdr2,827187,2,"[19854857, 19854857]"
CESA8,827612,2,"[17351116, 17351116]"
TPS08,827768,2,"[23512856, 23512856]"
MED12,827954,1,[25281690]
LIF2,827998,2,"[24914891, 24914891]"
PHOSPHATE STARVATION RESPONSE 1,828979,2,"[36655756, 36655756]"
CYP82C2,829327,3,"[26352477, 20354503, 31371717]"
CESA1,829376,1,[17351116]
YUCCA1,829389,1,[37501023]
UGT73B3,829559,2,"[24131360, 24131360]"
agb1-2,829597,1,[28792629]
acd2,829854,1,[8989880]
CYP79B2,830154,3,"[29085857, 37501023, 20408997]"
CESA3/ISOXABEN RESISTANT1,830399,2,"[17351116, 17351116]"
CAST,831,1,[16715543]
Axin2,8313,1,[28887754]
Ca2,831326,1,[24920452]
CESA7,831608,2,"[17351116, 17351116]"
ein2,831889,1,[11402212]
VSP1p,832547,1,[32006004]
TGG1,832669,1,[19703694]
HDA-2,832673,1,[30670606]
PEN3,833612,1,[19095898]
GORK,833728,1,[29271603]
caspase-1,834,1,[25230522]
CESA4/IRREGULAR XYLEM5,834426,2,"[17351116, 17351116]"
AtPDF1.2,834469,1,[18599651]
HCT,834951,1,[21251001]
caspase,835,2,"[21916504, 21916504]"
cellulase,835035,1,[37512818]
EIR1,835813,1,[37501023]
CYP81F2,835828,4,"[19095900, 22522512, 35257500, 23073694]"
PMR5,835974,2,"[17351116, 17351116]"
CASP-3,836,44,"[31673827, 37812276, 30414102, 37894482, 25806467, 15986440, 25442260, 19370169, 33389242, 16598808, 36499160, 30837881, 24071573, 22285236, 26220632, 29545735, 18222036, 26848704, 25661342, 33610633, 33981211, 21122037, 26870680, 26327534, 24368570, 18481862, 19393284, 31972453, 28041784, 17666799, 21394807, 28450128, 29653168, 29805569, 21241775, 18222036, 28359723, 26291658, 26349514, 25268882, 21394807, 31374354, 21241775, 27536140]"
Nrf2,83619,4,"[24128039, 30473664, 24752777, 24752777]"
PMG1,836263,1,[23115560]
CESA6/IXR2,836595,1,[17351116]
Fat,83720,1,[29963318]
At1g06990,837209,1,[29271603]
WAX INDUCER1,838105,1,[25281690]
HIG1,838438,2,"[23115560, 23073694]"
CYCLIN-DEPENDENT KINASE8,838648,1,[25281690]
IGMT1,838706,1,[35257500]
IGMT2,838708,1,[35257500]
GGAT1,838940,1,[34202732]
MED25,839141,2,"[25281690, 25281690]"
EIF2alpha,83939,3,"[35931117, 22519596, 22519596]"
AXR3,839568,1,[37501023]
NSL1,839735,3,"[27711985, 27711985, 27711985]"
CASP-7,840,1,[31673827]
GSK-3b,84027,1,[25128810]
OBSCN,84033,1,[36312981]
UGT80B1,840946,1,[31611892]
caspase,841,12,"[19393284, 28359723, 25268882, 21241775, 24368570, 26327534, 19393284, 21122037, 25268882, 24368570, 21468561, 19393284]"
ATX,841454,2,"[24011431, 24011431]"
AtRHM2,841785,1,[26433966]
epithiospecifier protein,841842,1,[23940639]
Caspase-9 and -3,842,16,"[25641103, 26870680, 29805569, 25268882, 21122037, 18481862, 26870680, 25661342, 25268882, 29549725, 31972453, 30355923, 26327534, 24071573, 29653168, 24368570]"
cat2,842170,1,[20530195]
ARF1,842268,1,[37501023]
GES,842405,4,"[18398052, 18398052, 18398052, 18398052]"
TAA1,843393,1,[37501023]
WAT1,843886,4,"[24129639, 22978675, 22978675, 24129639]"
rpoB,845225,1,[22748594]
cullin-1,8454,1,[31216760]
LC3,84557,2,"[31911173, 35931117]"
CAT,847,10,"[37189022, 37532330, 36235056, 37189022, 30693585, 36235056, 12963009, 28041784, 32825344, 21916504]"
glucokinase,850317,1,[6370959]
AGP1,850333,1,[29490607]
ILV6,850348,1,[29490607]
PGK,850370,2,"[1368907, 1368907]"
RAD18,850430,1,[18212113]
TUP1,850445,1,[36012547]
A1- A2- B,850458,3,"[24751367, 24751367, 16964330]"
Rim15,850511,1,[35843417]
Mpr1,850554,1,[33795709]
Pho4,850594,1,[37601111]
IRC7,850616,2,"[30658969, 30658969]"
TPO1,850631,2,"[28409382, 28409382]"
PDC1,850733,1,[10919763]
erg3,850745,1,[16870766]
PDC5,850825,1,[26292030]
ACS2,850846,1,[10919763]
FRE1,850911,1,[22304436]
EXG1,851007,1,[27491546]
MET17,851010,1,[17408496]
FBP1,851092,2,"[29579121, 29579121]"
hexokinase,851167,2,"[6370959, 34612490]"
LEU3,851172,1,[37455545]
YLR456W,851178,1,[18212113]
Cdc19,851193,1,[26016674]
CYS3,851221,1,[18212113]
Mdm10,851223,1,[24135058]
ACS1,851245,1,[18990252]
FLO1,851289,1,[34086936]
Pho13,851362,1,[28625755]
Cop1,851410,1,[19400802]
Hem25,851439,1,[26821380]
GPD1,851539,1,[21720823]
MAF1,851568,1,[31658995]
Snq2p,851574,1,[20091224]
EN A1,851610,1,[24751367]
NRG1,851613,1,[29490607]
Ste5,851680,1,[22829779]
Ino2,851701,1,[15353567]
Aro1,851705,1,[26016674]
CPR1,851733,1,[16332809]
HST4,851772,2,"[29579121, 29579121]"
YAP6,851846,1,[36012547]
HXT3,851946,1,[29490607]
ARO10,851987,2,"[26292030, 26016674]"
Hat1,8520,2,"[27400176, 27400176]"
Stp1,852074,1,[28409382]
Pdr3,852278,1,[28409382]
FLR1,852293,1,[17408496]
Reb1,852338,1,[15353567]
TIP1,852359,1,[30261908]
CYC8,852410,1,[36012547]
AGP2,852429,1,[29490607]
IFA38,852456,1,[18212113]
TYR1,852464,2,"[30771296, 26016674]"
sec7-1,852469,1,[2531129]
EHT1,852476,2,"[16361250, 16361250]"
ARO4,852551,2,"[26016674, 26016674]"
SHM1,852565,1,[38007732]
Pho89,852599,1,[37601111]
Rtf1,852607,1,[22783880]
HXK2,852639,3,"[34612490, 6370959, 29844402]"
RTG2,852640,1,[18212113]
aro8 aro9,852672,1,[34399611]
LYS5,852723,1,[25557478]
Aft1p,852809,1,[22304436]
MIG1,852848,1,[36012547]
Pdr1,852871,1,[28409382]
leu1,852875,1,[23636690]
PMA1,852876,2,"[35736033, 35736033]"
CUL3,852886,1,[33721896]
CYP4F2,8529,1,[36327116]
Kss1p,852931,1,[15802524]
PBP1,853089,2,"[28089630, 28089630]"
histone acetyltransferase Gcn5,853167,1,[27642009]
Set2,853271,1,[29146582]
MEF2,853342,1,[18212113]
Met3,853466,1,[7920699]
Tor1p,853529,1,[17031002]
sod1,853568,2,"[29275696, 21648421]"
AAD10,853620,1,[18990252]
SOR1,853624,1,[21720823]
Tor2p,853632,1,[17031002]
FAS1,853653,2,"[29490607, 15353567]"
APL2,853723,1,[18212113]
Abf1,853748,1,[15353567]
sfk1,853815,1,[29270163]
RGT1,853828,1,[29490607]
IXR1,853836,1,[29490607]
MAE1,853839,1,[29490607]
Set3,853900,2,"[31001207, 31001207]"
Gap1,853912,2,"[25909858, 25909858]"
UTH1,853916,1,[20093034]
YKR070W,853944,1,[26071590]
PTR2,853968,1,[28390508]
GRE2,854014,1,[17408496]
Ino4,854042,1,[15353567]
GPD2,854095,2,"[11870853, 21720823]"
MAK-1,854156,2,"[18849472, 18849472]"
Sin3,854158,1,[15353567]
HST3,854190,3,"[29579121, 29579121, 29579121]"
CRS5,854196,1,[22304436]
Yvc1,854255,1,[36011361]
RGS2,854274,1,[29490607]
LEU9,854275,1,[29490607]
DeltaIAH1,854293,2,"[30261908, 30261908]"
PDR5,854324,3,"[22897823, 25609182, 20091224]"
SPR1,854362,1,[27491546]
YCA1,854372,1,[20345898]
DFR1,854411,3,"[1427091, 1427091, 1427091]"
esa1,854418,1,[22882998]
MEK-1,854533,2,"[18849472, 18849472]"
ALD4,854556,3,"[10919763, 10919763, 10919763]"
FDH1,854570,1,[38007732]
glycerol 3-phosphate dehydrogenase,854651,1,[11870853]
Lgr-5,8549,2,"[36797277, 30441806]"
ERG13,854913,2,"[23636690, 29948122]"
DeltaGAL80,854954,1,[29315481]
ERG6,855003,2,"[35724740, 16870766]"
YAP1,855005,1,[34476516]
Ypt7,855012,2,"[30936855, 30936855]"
HXT2,855023,1,[26861396]
erg5,855029,1,[26098102]
FET3,855080,2,"[22304436, 22304436]"
DDR48,855210,2,"[37744150, 37744150]"
erg2,855242,1,[16870766]
Tom40,855243,1,[24135058]
YMR210W,855250,1,[18990252]
AAD14,855385,1,[18990252]
GOR1,855447,2,"[31757928, 31757928]"
ALP1,855451,1,[29490607]
FOL1,855465,1,[38007732]
ZWF1,855480,4,"[28625755, 26016674, 26016674, 26016674]"
Rap1,855505,1,[15353567]
NPR1,855538,3,"[25909858, 25909858, 34972198]"
Tom70,855602,1,[18032784]
LEU4,855619,1,[9765846]
Crz1,855704,1,[37601111]
Sam50,855705,1,[24135058]
HDA1,855710,1,[28862744]
ABZ1,855768,1,[38007732]
AIF1,855811,1,[20345898]
Gal4,855828,1,[29315481]
FAS2,855845,1,[15353567]
FMP40,855879,1,[31757928]
OYE3,855932,1,[17408496]
SPP1,855965,1,[26126743]
EEB1,856010,2,"[16361250, 16361250]"
ALD6,856044,4,"[10919763, 11870853, 10919763, 10919763]"
PMA2,856071,2,"[35736033, 35736033]"
Ymc1,856171,1,[26821380]
Aro7,856173,1,[26016674]
ROX1,856178,2,"[36012547, 29948122]"
CTR1,856241,2,"[22304436, 22304436]"
OPI1,856366,2,"[18212113, 15353567]"
Cyp51p,856398,2,"[16964330, 16964330]"
SOD2,856399,1,[25639351]
CUP1,856450,1,[22304436]
Ste12p,856484,1,[15802524]
HXT4,856492,1,[26861396]
Set1,856519,1,[26126743]
SKN7,856613,1,[36012547]
BAT1,856615,1,[18990252]
URA3,856692,2,"[34387324, 32329773]"
Gcn4,856709,1,[28409382]
Aminopeptidase,856811,2,"[2531129, 2531129]"
SER3,856814,1,[25609182]
Chd1,856911,1,[27642009]
RANKL,8600,2,"[29304006, 29304006]"
MPro,8673700,3,"[33069672, 33069672, 34646250]"
Beclin-1,8678,1,[31911173]
FADD,8772,1,[31673827]
chitinase,878587,1,[33460747]
LasR,881789,1,[33460747]
carboxylesterase 2,8824,2,"[30193143, 30193143]"
NRP,8829,3,"[28229977, 22802156, 31518630]"
WISP2,8839,1,[32260204]
CD133,8842,1,[36797277]
hPXR,8856,1,[22161763]
cyclin A,890,2,"[27986611, 25062475]"
cyclin B1,891,1,[27986611]
Cav3.1,8913,1,[26024438]
P39,8941,1,[37861313]
GITRL,8995,1,[36160406]
claudin-1,9076,1,[28688953]
RP-18,9129,1,[10695676]
CCNE2,9134,2,"[24879544, 24879544]"
Cd2,914,1,[33498433]
exo-1,9156,1,[17346759]
CD4,920,1,[35973736]
CD-6,923,1,[11069009]
DHB,92797,1,[28873258]
Klf4,9314,1,[33890134]
PSK,9344,2,"[23217280, 23217280]"
CYP,9360,4,"[35370209, 19075616, 29741855, 25662514]"
cochlearines A (6) and B (7),941,1,[26024438]
ABC Transporter,9429,3,"[32994334, 32994334, 19517454]"
PERK,9451,1,[34070303]
ATG5,9474,1,[26871659]
CAS,9564,3,"[33827404, 30394044, 33827404]"
CD44,960,1,[36797277]
ISG15,9636,1,[33825097]
SLC25A44,9673,2,"[34073512, 34073512]"
CD69,969,1,[35973736]
Tox,9760,2,"[11734635, 36883814]"
KEAP1,9817,1,[37351768]
CDC2,983,1,[27986611]
TOMM70A,9868,1,[33890134]
CDC20,991,1,[22033405]
Cdc25b,994,1,[27939989]
Usp15,9958,1,[31216760]
Cdc42,998,3,"[31109134, 26371759, 28811522]"
HNRNPDL,9987,1,[31280524]
CDH1,999,5,"[37683805, 30355923, 15986440, 29048673, 21225227]"
endothelin,No Data,2,"[8609079, 33180497]"
