Chemicals,ChemicalsID,Length,PMID
6-methoxyflavanone,C000598908,1,[30304815]
Diplopimarane,C000599084,3,"[25365236, 25365236, 25365236]"
fumosorinone,C000599091,1,[30781844]
stagonolide E,C000599764,1,[21656354]
Schizines A (,C000599865,1,[25951057]
2-5-dihydroxyterephthalic acid,C000599921,1,[23799608]
gulypyrone A,C000600344,1,[25700035]
phomentrioloxin B,C000600347,1,[25700035]
Applanatumin A,C000600474,1,[25706347]
4-hydroxymellein,C000600633,1,[25183332]
dehydroabietylamine,C000600819,1,[35714148]
(7S)- 10-hydroxysydonic acid,C000600888,1,[35314063]
aszonapyrone A,C000601018,2,"[34415221, 34415221]"
Versicorin,C000601244,2,"[25835225, 25835225]"
oligandrins,C000601412,1,[35158298]
(2S)-5-acetamidopentyl-2-hydroxypropanoate,C000601861,1,[25798885]
2- 5- 7-trihydroxy-4-(3'-methylbut-2'-en-1'-yl) oxy-2H-naphtho [1- 8-b c] furan-9-one,C000601862,1,[25798885]
Asperaculane B,C000601872,2,"[32630339, 32630339]"
deacetylmycoepoxydiene,C000602102,3,"[21656354, 25661342, 25661342]"
altiloxin A,C000602217,1,[26149922]
aszonalenin,C000602356,2,"[34415221, 34415221]"
antcin K,C000602429,5,"[30704622, 26870680, 26870680, 28081627, 28081627]"
3-Methyl-3-buten-1-ol,C000603533,1,[32597067]
2-(4-hydroxyphenyl)-propionic acid,C000603635,1,[12747214]
aerothionin,C000603844,1,[22476960]
2-pyrrol formic acid,C000603975,2,"[25675117, 25675117]"
Sp,C000604007,3,"[28072559, 28072559, 30057751]"
Epogymnolactam,C000604134,1,[25242622]
sclerolizine,C000604586,1,[25944531]
virgaricin B,C000604596,1,[33706628]
botryoisocoumarin A,C000604622,1,[30658264]
walleminone,C000604653,2,"[24471934, 28036382]"
aspertetranone D,C000604830,1,[29304006]
Peniciadametizine A,C000605317,1,[26058014]
Peniciadametizine B,C000605318,1,[26058014]
Vanitaracin A,C000605351,2,"[26378168, 26378168]"
Kirkamide,C000606097,2,"[26033226, 26033226]"
chaxapeptin,C000606229,1,[28744271]
remdesivir,C000606551,1,[34746476]
Ursane,C000606873,5,"[33255782, 33255782, 20979023, 30339834, 24367017]"
2-[(5-methyl-1-4-dioxan-2-yl)methoxy]ethanol,C000606891,1,[31652901]
Berkchaetoazaphilone B,C000607234,3,"[34548600, 34548600, 34548600]"
methyl (Z)-3-(3-4-dihydroxyphenyl)-2-formamidoacrylate,C000607674,1,[26670415]
15-hydroxydecaturin A,C000607676,1,[26670415]
delta-cadinene,C000607799,2,"[33851514, 19400802]"
citreohybridonol,C000607874,1,[24891425]
physciosporin,C000607989,2,"[34864007, 30668330]"
actinomycin X2,C000608363,1,[34331149]
malformin C,C000608429,2,"[31321600, 20003296]"
1H-pyrrole-2-carboxylic acid,C000608461,2,"[30747297, 30747297]"
higginsianin B,C000608588,2,"[32006004, 32006004]"
erinacine,C000608927,15,"[24287632, 29580208, 29509661, 26244378, 28955459, 15322365, 12005051, 12005051, 26807743, 26807743, 29780164, 30355923, 30355923, 29951133, 29951133]"
staphylopine,C000609243,1,[34325424]
tanzawaic acid A,C000609259,1,[10870185]
3-keto-DON,C000609395,4,"[35806249, 35050993, 35050993, 29323531]"
3-OH MAME,C000609565,1,[35712573]
Obionin A,C000609607,2,"[25856439, 25856439]"
Cristazine,C000610326,2,"[30860609, 30860609]"
Erinacine C,C000610439,7,"[26615754, 26615754, 27716564, 29580208, 29580208, 28955459, 12005051]"
Cladosporol A,C000610716,1,[28728544]
oxohygrolidin,C000610771,1,[26809052]
bicyclo[2.2.2]diazaoctane,C000611147,3,"[11375024, 22502590, 20722388]"
Agaricoglyceride A,C000611317,2,"[26756189, 26756189]"
8-deoxydihydrotsugicoline,C000611324,1,[23517685]
fumigaclavine I,C000611397,1,[34865573]
Aspercryptin,C000611661,2,"[26563584, 26563584]"
