Chemicals,ChemicalsID,Length,PMID
PHPP,C025974,1,[24500481]
12-oxo-phytodienoic acid,C025999,1,[38105548]
DNBA,C026017,1,[22754340]
purpurogallin,C026133,1,[31825096]
fumagillin,C026211,21,"[36000736, 18763205, 24116213, 17464844, 27739446, 32817009, 28387469, 33051372, 17244350, 28818052, 30342519, 28753224, 34946641, 23537878, 30240513, 31861936, 31861936, 33217921, 36765124, 18486645, 15487928]"
hygromycin,C026273,4,"[25482072, 30993412, 35464961, 32430474]"
geranyl-hydroquinone,C026301,1,[33993393]
atranorin,C026304,46,"[37877655, 21351753, 15230001, 30417238, 31243559, 34864007, 31741276, 28443519, 28443519, 26370809, 24170172, 26838439, 17619930, 21452097, 32096436, 32096436, 32096436, 26979434, 26979434, 27645140, 22285236, 26342621, 19427006, 34225637, 25220142, 16365718, 24269500, 38067568, 35406647, 35789537, 35789537, 37894248, 18827367, 23374132, 23374132, 18207149, 30974882, 30974882, 28811522, 28811522, 28012710, 20837130, 30970506, 28887754, 35628705, 33013369]"
fumarprotocetraric acid,C026307,10,"[27091386, 34783906, 28041784, 28041784, 34225637, 34034351, 23374132, 18279796, 26220632, 23872116]"
Dihydrocoumarin,C026308,5,"[26882112, 26882112, 26882112, 28836182, 28836182]"
10-octadecanoic acid methyl ester,C026345,1,[37168123]
cercosporin,C026363,1,[36770808]
n-Hexane,C026385,22,"[29084681, 37755366, 25248548, 19844829, 27393435, 31204359, 35335230, 38202796, 23342508, 27757508, 35942863, 32930255, 36631103, 36175855, 16356517, 33583797, 33177283, 29727733, 36884139, 38093524, 36838631, 25954909]"
urolithin A,C026423,3,"[26189645, 26189645, 33450667]"
ginsenoside Rg2,C026474,1,[37717245]
S-methyl thioacetate,C026500,1,[28358818]
15-keto-prostaglandin F2a,C026528,1,[37662599]
2-nonanone,C026636,2,"[31615965, 30913303]"
Phe,C026650,1,[36520239]
mycinamicin,C026686,1,[31662458]
octane,C026728,1,[29304415]
4-aminophenol,C026729,2,"[9237764, 9237764]"
Carbazomycin B,C026754,2,"[31168648, 31168648]"
phbC,C026914,1,[32665084]
erythrose 4-phosphate,C026959,1,[26016674]
2-3-butanediol,C026978,8,"[37501023, 29906774, 29906774, 35458737, 36297252, 37848152, 26035127, 28425950]"
terpinolene,C027009,3,"[29679267, 27231874, 26385229]"
methyl-beta-D-glucopyranoside,C027020,1,[38004706]
dUTP,C027078,2,"[28336949, 18396055]"
1-8-dihydroxy-3-methyl-anthraquinone,C027113,8,"[19413806, 21710748, 29254631, 21548363, 16829953, 24361402, 35761187, 35422824]"
rugulovasine A,C027114,1,[33047278]
didecyldimethylammonium chloride,C027118,1,[34678984]
versiconal hemiacetal acetate,C027121,1,[26300294]
NRRL B-65442,C027166,1,[36314940]
DEAE Sephadex A-50,C027184,1,[24761950]
indirubin,C027185,1,[25542572]
germacrene D,C027259,3,"[12489082, 12489082, 35325290]"
heptelidic acid,C027285,6,"[32736691, 34563853, 34563853, 32681951, 32681951, 32595612]"
beta-ketoadipic acid,C027316,1,[1551837]
naringenin chalcone,C027329,1,[15778463]
octadecadienoic acid,C027369,1,[32605151]
bagasse,C027433,2,"[12421000, 35316475]"
benzopyron-4-ol,C027442,1,[37168123]
saframycin,C027443,1,[27548127]
methanamine,C027451,2,"[28714266, 35791605]"
DH-A,C027493,1,[26695334]
5-methyltryptamine,C027552,1,[37446570]
4-hydroxynonenal,C027576,2,"[34678984, 28081627]"
2-aminophenol,C027667,1,[9237764]
Benzo[j]fluoranthenes,C027704,3,"[32456162, 32456162, 17253861]"
2-3-dihydroxyisovaleric acid,C027749,2,"[18001088, 18001088]"
glucosyl,C027788,1,[36864204]
mustard oil,C027793,1,[35163500]
aklavinone,C027832,1,[1367126]
milbemycin,C027837,3,"[34660550, 24299107, 24299107]"
bacillomycin D,C027845,15,"[29709685, 35792191, 35792191, 37543004, 37543004, 17898845, 37811935, 25764969, 36935122, 26011557, 31973845, 31973845, 30884857, 35056513, 37925555]"
aflatoxin G1,C027955,5,"[28958507, 29964151, 16375826, 17161513, 19325828]"
AUMC14342,C027978,2,"[36286059, 36286059]"
protoporphyrin IX,C028025,1,[11034349]
K3Fe(CN)6,C028033,1,[31993159]
phosphoglucose,C028071,1,[37882562]
10-hydroxycamptothecin,C028098,1,[19119919]
tryptophan methyl ester,C028129,1,[27601844]
cyclohexenone,C028215,1,[36866699]
satratoxin g,C028268,6,"[18443920, 18443920, 18443920, 36006177, 17483261, 23605667]"
polyurethane foams,C028279,1,[11885418]
eleutheroside B,C028305,1,[32998304]
beta-naphthol,C028405,1,[28613244]
#NAME?,C028523,1,[15307685]
2-pyrrolidone,C028537,1,[31815421]
mono-n-butyl phthalate,C028577,2,"[31887491, 31887491]"
flavanone,C028610,8,"[22039419, 19631278, 26433966, 20132953, 16332809, 25970559, 22202970, 33995321]"
cyromazine,C028704,1,[37184816]
hopene,C028765,2,"[37209150, 34662717]"
cyclopropane fatty acid,C028775,1,[11200428]
N-desmethyltamoxifen,C028787,1,[27812322]
isoproturon,C028904,1,[36135711]
cresyl violet,C028911,1,[30781501]
triethylene glycol,C028914,1,[24593676]
cinnamic acid,C029010,29,"[25002358, 30504088, 34609530, 37689887, 28391728, 35049932, 27868205, 30109409, 38148189, 25970691, 33387592, 19788757, 23870867, 37585318, 37110422, 16349197, 31416118, 35094184, 28587992, 34108825, 37194429, 12226501, 24049489, 31901132, 12696935, 28814712, 24884360, 33995321, 23607932]"
Crocin,C029036,2,"[36622432, 36622432]"
4-chlorophenol,C029107,1,[3289565]
chromanol,C029141,1,[29194412]
xyloglucans,C029353,1,[9987601]
kynurenine,C029366,2,"[37235354, 36736024]"
oleamide,C029407,6,"[33743702, 34395628, 31069124, 35458737, 36287980, 34440531]"
hydrazine,C029424,1,[27279441]
lead tetraacetate,C029433,1,[26296745]
D-turanose,C029454,1,[36268228]
p-toluenesulfonic acid,C029501,1,[32155845]
1-Chlorooctadecane,C029539,1,[32326009]
3-4-HPPA,C029546,1,[37194429]
rugulosin,C029548,4,"[34619360, 21722090, 16680458, 2181929]"
DCFDA,C029569,2,"[34705190, 35517301]"
glycerol-3-phosphate,C029620,1,[30709496]
propionic acid,C029658,5,"[24727748, 36228969, 35988726, 23664264, 20456526]"
Beta-zearalenol,C029659,17,"[12828470, 12828470, 8031711, 27401186, 8946715, 21803136, 21803136, 21803136, 21803136, 31596610, 27465603, 27465603, 30005262, 30005262, 30005262, 30005262, 30248481]"
3-methyl-1-butanol,C029683,10,"[33675374, 26920072, 32597067, 10340828, 10340828, 21720823, 9765846, 32269554, 19441818, 19919120]"
thiobarbituric acid,C029684,3,"[26342688, 16143460, 23872116]"
aflatoxin B2,C029753,6,"[26338134, 26338134, 31150109, 30444348, 6798444, 17161513]"
aflatoxin G2,C029754,1,[17161513]
ammonium tartrate,C029768,3,"[31631807, 11024526, 36079659]"
versicolorin A,C029826,7,"[23207690, 501330, 2615792, 7235696, 3103529, 6803669, 21148941]"
versicolorin C,C029827,7,"[30299052, 15258720, 17683963, 18262779, 35099085, 7235696, 30699456]"
averufin,C029856,5,"[30299052, 33861173, 7235696, 3103529, 30699456]"
4-4'-dichlorobiphenyl,C029861,2,"[16528513, 16528513]"
polyols,C029873,1,[36781540]
imidazole,C029899,2,"[25421646, 33214797]"
adipic acid,C029900,1,[32626638]
potassium hydroxide,C029943,2,"[34213615, 31460851]"
methylene,C030011,1,[32565425]
ergosinine,C030041,1,[33609041]
omega-hydroxypachybasin,C030074,1,[37623712]
arabinan,C030080,1,[29430375]
coumarins,C030123,41,"[37219434, 37219434, 24498889, 33218994, 32407267, 31569547, 35866211, 37389739, 36405338, 36405338, 36405338, 34539717, 15270571, 21038701, 26324856, 26324856, 19813054, 20530195, 37504705, 36139936, 37360552, 31731430, 16535476, 16535476, 28394295, 28844340, 36583026, 31481196, 33027611, 31076771, 31076771, 34946987, 36290453, 36290453, 36290453, 34208600, 34208600, 28432098, 28432098, 30636453, 30636453]"
3-carene,C030218,2,"[29679267, 34825755]"
phosphoric acid,C030242,3,"[24885968, 6668334, 25068925]"
maleic acid,C030272,2,"[37021806, 26452099]"
malonate,C030290,5,"[28762089, 3882051, 35255883, 1987125, 35166525]"
malic acid,C030298,18,"[33955461, 31715206, 36735958, 32049975, 27871334, 29195984, 21720823, 11024526, 11407758, 30298076, 29317679, 34108825, 19441818, 7812438, 32337100, 36079659, 30100914, 37023649]"
lauric acid,C030358,4,"[35629283, 35629283, 30775186, 10993158]"
indoles,C030374,47,"[37219434, 35649283, 32324822, 37108503, 21730199, 19633837, 28498358, 11375024, 37110751, 31945518, 36296463, 33320161, 21643703, 29356159, 31922733, 30445856, 25919406, 37794279, 22976482, 22978675, 37811935, 12722658, 21192258, 24293720, 33572212, 37446570, 20118373, 28164793, 26434315, 23034233, 33981211, 32398764, 35211458, 36595079, 31349604, 32344895, 37175726, 24617253, 34641311, 19660768, 37384526, 37384526, 25655350, 34090466, 29889418, 30366995, 9249978]"
4-hydroxy-2-pyrone,C030415,1,[37001015]
andrographolide,C030419,1,[31823202]
(-)-loliolide,C030425,1,[21857543]
hippuric acid,C030514,1,[25828073]
ricinoleic acid,C030521,1,[29303991]
formic acid,C030544,10,"[26338134, 27475444, 33452378, 33151829, 30444348, 33467133, 35045259, 29859076, 30777812, 36547610]"
4-hydroxystyrene,C030626,1,[31891261]
N-3-oxohexanoyl-l-homoserine lactone,C030654,2,"[16291676, 37333853]"
Acetamide,C030686,3,"[33460747, 35680569, 26263697]"
gluconic acid,C030691,13,"[33955461, 33169928, 33169928, 26420024, 26420024, 24024763, 24024763, 24024763, 20618892, 20618892, 37880578, 36268228, 34108825]"
5-6-dihydroxyindole-2-carboxylic acid,C030692,1,[30073232]
triacetic acid lactone,C030720,4,"[33218994, 33218994, 29440400, 29440400]"
7-aminocephalosporanic acid,C030735,1,[36401643]
3-indole acetic acid,C030737,107,"[29260908, 12818674, 31001657, 30504088, 30504088, 28440700, 26636983, 10920814, 21146137, 21146137, 34395628, 36857007, 11501398, 11501398, 32315172, 25304022, 20233857, 20233857, 22748594, 10808488, 32537904, 12732958, 12732958, 34591915, 34591915, 33228091, 33228091, 32350603, 32350603, 34600600, 34600600, 34997335, 35437612, 35437612, 22978675, 37811935, 31187042, 31187042, 31652440, 31652440, 31652440, 14506862, 14506862, 14506862, 27990770, 27990770, 31563093, 23541032, 23541032, 24443429, 25512025, 37670394, 30379821, 32114361, 30340353, 30340353, 30340353, 35332238, 35332238, 37381782, 27148199, 23349065, 23349065, 29906774, 32080752, 24250543, 24250543, 32561579, 32561579, 35898220, 35898220, 28159987, 32169494, 28690133, 28690133, 35966702, 35966702, 31023221, 31023221, 31023221, 25725457, 25725457, 24129639, 24129639, 36940032, 16347506, 16347506, 16347506, 36771720, 27974729, 31253081, 23016493, 24884360, 24884360, 32742769, 32742769, 25119988, 25119988, 35360328, 32482932, 32482932, 36836368, 36181696, 25412549, 25412549, 35714148, 30659625]"
validamycin A,C030790,3,"[18820907, 23751979, 34201365]"
valienamine,C030791,2,"[18820907, 26704727]"
tryptamine,C030820,11,"[25063396, 23744904, 27941094, 37446570, 26434315, 37659744, 37876783, 21112065, 36990027, 36588460, 35158298]"
benzanthracene,C030935,2,"[28714266, 28425950]"
pyrene,C030984,4,"[26498812, 29304415, 33513835, 21782215]"
purine,C030985,11,"[25198175, 2967694, 35430257, 34691116, 33374845, 16860349, 25868618, 25080434, 30662735, 28587097, 35575547]"
pyrimidine,C030986,6,"[33946466, 17178464, 34691116, 32123201, 28587097, 24349254]"
benzylpenicilloic acid,C030990,1,[37630296]
benzimidazole,C031000,6,"[31541640, 31541640, 35572705, 37748651, 37748651, 37748651]"
Oligomycins A,C031004,1,[29158025]
5'-O-methyladenosine,C031038,1,[38004706]
formamide,C031066,2,"[3073060, 27980580]"
NaClO4,C031068,2,"[35335320, 36235005]"
methyl,C031105,7,"[37175133, 36985405, 36866699, 38067568, 38025899, 38187885, 37748651]"
p-Hydroxylbenzoic acid,C031128,1,[36411530]
3-methylcatechol,C031136,1,[23046443]
glyoxylate,C031150,10,"[33325724, 29880200, 32183659, 25672323, 34542359, 31690329, 28446328, 14595781, 32597697, 29867844]"
chrysene,C031180,1,[26498812]
phenanthrene,C031181,3,"[26498812, 28484977, 21782215]"
stearic acid,C031183,6,"[33571807, 36175855, 36228969, 30123207, 32805028, 24941169]"
1-4-dimethoxybenzene,C031200,2,"[21141475, 21141475]"
Acetylenic acid,C031203,3,"[22342624, 22342624, 18247526]"
beta-cyclodextrin,C031215,2,"[18207149, 18207149]"
p-xylene,C031286,1,[31134356]
artemisinin,C031327,13,"[24575401, 30230327, 30230327, 24500733, 24500733, 18512022, 35454988, 35454988, 25366131, 18991643, 18991643, 28049347, 29925808]"
4-hydroxyacetophenone,C031335,2,"[23252272, 7523950]"
L-Pipecolic Acid,C031345,18,"[26801577, 26801577, 26801577, 2394693, 2394693, 2118517, 2118517, 2118517, 2118517, 36161578, 14766586, 14766586, 11717275, 11717275, 32310943, 15043401, 30709496, 28860643]"
DP4+,C031349,1,[37901491]
03-OH,C031356,1,[38240740]
pepstatin,C031375,1,[27642126]
anthranilic acid,C031385,13,"[29196288, 30717441, 28991218, 28991218, 26701311, 26701311, 24317468, 16629408, 37764307, 36588460, 9296363, 19660768, 10721082]"
resorcinol,C031389,5,"[25559850, 33913403, 30650514, 34704787, 30696899]"
benzyl isothiocyanate,C031403,2,"[28941698, 28941698]"
Leucodelphinidin,C031451,2,"[30951817, 30951817]"
phenyl-ethanediols,C031474,2,"[17440922, 23421717]"
umbelliferone,C031477,1,[35913539]
octanoic acid,C031492,3,"[36197044, 30775186, 19441818]"
3-amino-5-hydroxybenzoic acid,C031509,1,[28044276]
imperatorin,C031534,1,[32156246]
diphenyl ether,C031538,10,"[35595930, 27054912, 33809861, 32199959, 35907652, 22516892, 34602399, 36157764, 35516645, 27785778]"
cytochalasin C,C031582,1,[21049610]
phenylpyruvate,C031606,2,"[26292030, 26016674]"
sodium nitrate,C031618,6,"[35670582, 37338364, 2615792, 23973838, 12545385, 22783085]"
octanal,C031639,1,[28285516]
naphthalene,C031721,13,"[28714266, 32077325, 32077325, 26880363, 21963801, 33825097, 21643703, 26498812, 24735402, 35814705, 36686955, 32084416, 34678984]"
siccayne,C031784,3,"[15386117, 23353656, 12608846]"
acetic anhydride,C031800,2,"[28648177, 28648177]"
staphyloxanthin,C031841,1,[27357141]
6-methoxy-2-benzoxazolinone,C031896,6,"[17993551, 17993551, 37501023, 24271439, 16478220, 16478220]"
hydroquinone,C031927,7,"[26894873, 34126770, 35622275, 35622275, 17309298, 34108825, 25954909]"
fumaric acid,C032005,5,"[33652111, 27291673, 27291673, 37023649, 17061830]"
ATX-III,C032104,1,[38147116]
N1-acetyl-5-methoxykynuramine,C032131,1,[16219483]
acetonitrile,C032159,22,"[22439650, 26338134, 3597582, 27475444, 15656942, 33452378, 24858094, 35678834, 32448000, 33467133, 11761144, 11975601, 37367682, 2089062, 25303929, 27845716, 25044730, 32155845, 33337481, 34678989, 28233520, 36629437]"
p-coumaric acid,C032171,5,"[38103029, 37689887, 37446570, 37585318, 36967924]"
benzaldehyde,C032175,10,"[17125234, 35261218, 31216760, 34819605, 9246777, 26946170, 16349197, 31739552, 31739552, 19919120]"
p-mentha-1.8-dien-7-ol,C032208,1,[31974639]
levulinic acid,C032246,1,[31542655]
3-methyl butanal,C032251,2,"[33675374, 9246777]"
SDS,C032259,3,"[37743431, 37365694, 38045060]"
phthalic acid,C032279,7,"[26857605, 31887491, 31887491, 27245469, 30187101, 37121347, 36290294]"
methyl farnesoate,C032429,1,[23991191]
antimycins,C032456,10,"[21245311, 33979675, 35773185, 35773185, 29371360, 29371360, 24617253, 28358337, 34071728, 35488016]"
pyrrolidine,C032519,2,"[33538208, 35488322]"
p-cresol,C032538,5,"[12764438, 22016433, 37426966, 35102419, 29889418]"
succinimide,C032620,1,[37261606]
tin protoporphyrin,C032628,2,"[23612372, 34575836]"
chaetochromin A,C032678,1,[18052326]
Mollicellin G,C032679,1,[30563178]
boracic acid,C032688,1,[23148097]
piperidine,C032727,1,[34013420]
vitexin,C032731,2,"[30666655, 27601844]"
isovaline,C032737,4,"[30103563, 30103563, 18816513, 18816513]"
rifamycin S,C032779,1,[24409762]
mttA,C032864,2,"[27469970, 32198121]"
Triadimefon,C032910,2,"[26204946, 35907652]"
polysulfides,C032915,2,"[34297439, 22004350]"
3-hydroxybenzoic acid,C032948,1,[28966611]
elemol,C033011,2,"[27450433, 29215548]"
1-aminobenzotriazole,C033020,2,"[27457784, 27457784]"
methyl salicylate,C033069,1,[30709496]
hexamethyl,C033117,1,[37374906]
aziridine,C033132,1,[28425950]
iprodione,C033148,2,"[28602399, 33664789]"
sulfuric acid,C033158,1,[34213615]
ethyl oleate,C033180,1,[19621576]
22-chloro-25-hydroxyrubrumazine B,C033230,1,[36976244]
harpagoside,C033249,2,"[27598120, 37594529]"
ajugol,C033250,2,"[32454665, 37594529]"
elaiophylin,C033279,7,"[28717220, 28717220, 27757508, 27757508, 2257019, 35736196, 28472671]"
N-N'-pentane-1-5-diyldiacetamide,C033353,3,"[37375314, 18613055, 33150212]"
beta-1-3-glucan,C033363,7,"[27825996, 19654445, 32450024, 33022282, 32934285, 31398401, 22878139]"
2-hydroxyaklavinone,C033382,1,[1367126]
phenylglycine methyl ester,C033393,2,"[35628758, 35628758]"
nocardamine,C033516,2,"[16151202, 27128202]"
festuclavine,C033546,6,"[25421646, 17117820, 27554495, 28620689, 28453536, 37108913]"
puerarin,C033607,1,[31321528]
1-3-1-6-beta-glucans,C033671,1,[27910785]
5-deoxyadenosine,C033714,3,"[33811856, 33811856, 33811856]"
fenarimol,C033789,2,"[24244413, 17912683]"
rifamycin B,C033974,1,[25574739]
H3K9me3,C033990,3,"[37666447, 37172387, 38166117]"
2-ethyl-1-hexanol,C034017,1,[19441818]
terpinen-4-ol,C034019,1,[31980918]
anthracene,C034020,2,"[33214797, 23772114]"
vanadyl sulfate,C034028,1,[10908796]
2-4-5-trimethoxybenzaldehyde,C034031,2,"[17397476, 17397476]"
trimethyl-isopropyl-butanamide,C034160,1,[36964798]
NAA,C034182,2,"[33546424, 33546424]"
ellipticine,C034192,1,[32329701]
swainsonine N-oxide,C034218,1,[30744547]
isocitric acid,C034219,3,"[27787678, 23571531, 27756154]"
Pyrocatechol,C034221,10,"[37642890, 25104135, 34591915, 23220145, 34250809, 23315728, 19813054, 28966611, 36074093, 30011063]"
matrine,C034244,1,[30453532]
bostrycin,C034287,2,"[20345898, 20345898]"
falcarindiol,C034379,1,[30195388]
polygodial,C034380,3,"[29077000, 33036992, 33036992]"
chlorophyllide a,C034388,1,[18569722]
aurovertin B (,C034402,1,[16156519]
decamethyl,C034418,1,[37374906]
dimethylamine,C034516,2,"[865584, 28425950]"
bacillomycin F,C034571,1,[30269855]
octanoyl-CoA,C034681,1,[25308280]
diethylphosphate,C034789,1,[34678984]
1-4-dihydroxyanthraquinone,C034890,1,[25002358]
cytochalasin H,C034891,4,"[27567521, 24172060, 24172060, 963626]"
oxyresveratrol,C034912,1,[30020500]
BDG,C035022,2,"[36836276, 36719229]"
bassianolide,C035050,10,"[33451141, 27840396, 29551387, 29551387, 36984865, 36984865, 19285149, 37968430, 37968430, 34512581]"
gliocladic acid,C035073,1,[33287215]
bisdechlorogeodin,C035076,1,[26603760]
indolizine,C035094,1,[32049975]
sabinene,C035127,2,"[32122336, 29671794]"
5'-5'-5'-trifluoroleucine,C035177,2,"[9765846, 9765846]"
4-amino-2-6-dinitrotoluene,C035207,1,[9575043]
2-amino-4-6-dinitrotoluene,C035208,1,[9575043]
3-Phenylpropionic acid,C035253,6,"[34895071, 20479975, 36588460, 32486494, 32486494, 26166134]"
1-4- naphthoquinone,C035342,3,"[31272343, 30688448, 28844340]"
cFP,C035346,1,[27148199]
radicicol,C035359,7,"[18052326, 36770808, 26646532, 25506308, 25506308, 31947697, 32095098]"
VCAV,C035381,1,[32881085]
MAGs,C035408,4,"[36728429, 37210545, 36778052, 37264413]"
verrucarins J,C035445,1,[11045449]
2-3'-4-6-tetrahydroxybenzophenone,C035476,1,[36840041]
myxovirescin,C035536,1,[24425771]
MMS,C035596,1,[38031773]
L-glutamic acid,C035645,1,[36959933]
Sepharose CL-4B,C035771,1,[29545735]
epoxyagroclavine-1,C035808,1,[14768549]
iron(III) phosphates,C035885,1,[33374225]
6-chloronicotinic acid,C035953,1,[37437628]
procymidone,C035988,1,[28602399]
7-hydroxytropolone,C035995,4,"[34428926, 31984618, 31984618, 31984618]"
4-methoxyindol-3-ylmethylglucosinolate,C036025,2,"[21793828, 19095898]"
ergosterol peroxide,C036071,35,"[29248948, 36859622, 35622275, 27567521, 34576923, 23252272, 31215239, 34461517, 34461517, 30676068, 30658264, 37298969, 37812276, 37446570, 22014750, 36970635, 35576219, 21809540, 20134236, 25738405, 37711987, 16833015, 30837881, 30837881, 25676326, 25676326, 29232973, 25954909, 20355042, 24033596, 23336512, 23336512, 31936890, 31936890, 31936890]"
CCM454,C036150,1,[37569319]
ethylene,C036216,56,"[25063396, 34258698, 30681911, 23682917, 35862794, 26781612, 26781612, 32961710, 35142138, 24080397, 33153018, 17351116, 30854549, 21075959, 21075959, 28875843, 20111684, 33226310, 27459344, 23495785, 32659716, 31262259, 25155950, 33721896, 35121482, 31729398, 35628712, 35628712, 32630695, 35741765, 30777003, 30777003, 19694954, 31136934, 27047528, 27047528, 33803511, 33803511, 25675955, 28620397, 26634573, 19095898, 26579090, 29891775, 32337100, 20687809, 24869797, 11402212, 31733964, 18398052, 23073694, 33537050, 33537050, 29709641, 29709641, 21725501]"
n-hexanol,C036260,1,[30131138]
beta-amyrin,C036380,12,"[15596476, 24367017, 24367017, 23378447, 29948122, 25630535, 37110512, 38141183, 34108825, 22039103, 22039103, 18569722]"
cyclohexanone,C036468,2,"[30358043, 36225350]"
delta 1-piperideine-2-carboxylate,C036512,1,[2118517]
Asperugin B,C036522,1,[36616333]
asperugin,C036523,1,[36616333]
isoeugenol,C036643,3,"[36852543, 32122336, 36092146]"
acrylic acids,C036658,2,"[17447772, 38079052]"
toltrazuril,C036670,1,[30008132]
gliovirin,C036710,6,"[31061333, 32543845, 34563853, 28965291, 32595612, 36719232]"
7-deacetylisochromophilone VI,C036742,2,"[36708387, 37325518]"
5-O-caffeoylshikimic acid,C036792,1,[37646319]
lignocellulose,C036909,13,"[26496685, 33315957, 31138126, 25117531, 35538542, 31228644, 28901274, 28901274, 32313551, 35243445, 24069601, 35676509, 23442636]"
myxovirescin,C036969,1,[38103009]
concanamycin A,C036978,1,[12207217]
galangin,C037032,2,"[24685654, 37110422]"
cannabigerol,C037036,1,[37719209]
nerolidol,C037055,5,"[36706978, 27231874, 27562017, 37283700, 30542161]"
2-octanone,C037075,1,[33675374]
valerenic acid,C037133,1,[32080752]
hydroxyvalerenic acid,C037134,1,[19809971]
chlorsulfuron,C037137,1,[29085857]
isothiocyanate,C037152,2,"[29743024, 31354643]"
Phenazine-1-Carboxylic Acid,C037165,28,"[34623150, 34623150, 34623150, 22724439, 22724439, 24563022, 26669097, 35987279, 35987279, 18263718, 18263718, 26369437, 26369437, 34562115, 34562115, 12765878, 12765878, 12765878, 24377252, 17037049, 17037049, 27974729, 27974729, 28659907, 28659907, 28659907, 38005693, 17334842]"
quinoline,C037219,5,"[16240658, 23273751, 21790032, 35942863, 33981211]"
cis-13-Octadecenoic acid,C037352,1,[37122583]
PAME,C037366,1,[35712573]
Isoindolinone,C037432,12,"[26057224, 26057224, 36197044, 36197044, 25565282, 35949485, 29715021, 29715021, 32269298, 27588730, 28859931, 28859931]"
limettin,C037446,1,[32156246]
nickel hydroxide,C037473,1,[36179558]
cyclotrisiloxane,C037533,2,"[37374906, 36583026]"
silver chloride,C037548,1,[15030190]
valerolactones,C037556,1,[37764307]
Terbutylazine,C037565,3,"[36135711, 36135711, 36135711]"
oxymatrine,C037573,1,[32742769]
morpholine,C037574,1,[16228263]
3-deoxyaphidicolin,C037612,1,[21897020]
dichlorofluorescein,C037631,2,"[29248571, 29248571]"
hexanoic acid,C037652,6,"[37532330, 16256699, 8962148, 26270176, 24274300, 32373220]"
cyclo(D-Pro-L-Ala-D-Ala-L-Aeo,C037654,1,[16839576]
phenol-2-4-bis(1-1-dimethylethyl),C037667,2,"[37811935, 36378665]"
benzamide,C037689,2,"[27634222, 28358337]"
C8,C037690,1,[26765353]
benzoyl-CoA,C037817,1,[27871334]
cryptotanshinone,C037886,1,[32010087]
6-deoxyglucose,C037904,1,[16313990]
AcOEt,C037948,1,[36436828]
phenalenone,C038036,14,"[31801271, 37509057, 37436951, 37436951, 29734036, 25375978, 25375978, 35516645, 32093426, 32093426, 35628699, 35628699, 35628699, 16700528]"
cucurbitacin D,C038105,1,[17190463]
4-hydroxybenzoic acid,C038193,18,"[29260908, 18973006, 32887350, 30406450, 30406450, 26324909, 4038704, 27990770, 26756189, 28480420, 31225657, 30298076, 28966611, 26166134, 28814712, 24547933, 25576897, 17061830]"
ravidomycin,C038314,1,[37100527]
erythronolide,C038316,1,[37755004]
basidalin,C038319,1,[7945669]
leucine,C038361,5,"[36441009, 37455545, 37455545, 37445741, 36737755]"
nivalenol,C038405,41,"[28862744, 11109318, 27127848, 29261142, 22742524, 22742524, 29574332, 16684095, 15734567, 29964151, 11913766, 24859190, 18473219, 35362967, 35362967, 29382163, 23047235, 22897823, 9143116, 24244413, 23474971, 23474971, 24162094, 11694092, 23145781, 14998528, 36828399, 33773354, 33773354, 20681008, 36006189, 36006189, 19857559, 8946715, 35858796, 23605623, 25089350, 35268678, 35268678, 34952071, 34562492]"
ascladiol,C038422,1,[37366079]
3-(3-hydroxyphenyl)propionic acid,C038547,1,[28964360]
N-methyl-2-pyrrolidone,C038678,1,[25920216]
DPP,C038694,2,"[27684789, 23325103]"
Acetophenone Glucoside,C038699,3,"[36318651, 36318651, 28814712]"
Leptomycin B,C038753,2,"[9464413, 9464413]"
AM07Ac,C038773,1,[37110512]
dihydropyridine,C038806,2,"[28758954, 38206497]"
BP,C038809,1,[21086131]
1-octen-3-ol,C038844,8,"[33675374, 32632328, 30923972, 30923972, 9246777, 12929847, 35208231, 37367536]"
roridin A,C038849,1,[25731032]
T2-triol,C038854,3,"[15734567, 11913766, 11913766]"
methyl anthranilate,C038892,1,[35727028]
elemene,C038905,1,[31182095]
2-6-Dibromophenol,C038964,3,"[31836581, 31836581, 35641184]"
amorolfine,C038974,1,[16964330]
isobutyl acetate,C038989,1,[34875055]
potassium bromide,C039004,2,"[31671910, 24273638]"
aurovertins D,C039026,1,[26715220]
isoquinoline,C039109,3,"[31717922, 30194285, 36136526]"
fecosterol,C039241,1,[38030710]
o-acetamidobenzoic acid,C039252,1,[37764307]
furan,C039281,8,"[32915561, 36130285, 23613141, 33216385, 26728965, 34662717, 18305360, 16581246]"
fumitremorgin B,C039286,2,"[25737146, 8698635]"
TR-2,C039287,1,[17464844]
isobutyl chloroformate,C039311,1,[32155845]
PcbC,C039330,6,"[28359302, 10422583, 11872470, 18957609, 7614558, 23089625]"
C-8-S,C039415,1,[37953416]
25-hydroxyrubrumazine B,C039438,1,[36976244]
diosmetin,C039602,2,"[37566738, 32742769]"
4-4'-diaminostilbene,C039607,1,[35942863]
Aculeximycin,C039610,2,"[25301375, 25301375]"
NRRL 25517,C039617,2,"[37401423, 36668832]"
MHHJ-3,C039620,2,"[37683876, 36595079]"
myxalamide,C039622,1,[37213496]
pulegone,C039648,3,"[36891381, 27064866, 27064866]"
benzyl salicylate,C039672,2,"[26765353, 16428643]"
trichorzianine,C039715,2,"[28384416, 18008385]"
5-azacytosine,C039854,1,[22069749]
oxirapentyn,C039875,1,[25379336]
